date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:57	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2008:48:59%20GMT	http://hienle.demo.123corp.vn/robots.txt		(from )
15:48:57	34948/34948	---M-Z	200	added ('OK')	text/html	etag:%228884-58d3b9c466800-gzip%22	http://hienle.demo.123corp.vn/steeldoor/	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/index.html	(from )
15:48:58	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://hienle.demo.123corp.vn/steeldoor/)
15:48:59	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/use.fontawesome.com/releases/v5.7.2/css/all.css	(from http://hienle.demo.123corp.vn/steeldoor/)
15:48:59	58129/58129	---MCZ	200	added ('OK')	text/css	etag:W/%225cf6f82f-e311%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	(from http://hienle.demo.123corp.vn/steeldoor/)
15:48:59	52/52	---M--	302	error ('Found')	text/plain	date:Wed,%2005%20Aug%202020%2008:49:02%20GMT	https://unpkg.com/aos@next/dist/aos.css	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/unpkg.com/aos@next/dist/aos.3.delayed	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:00	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:00	3351/3351	---M--	200	added ('OK')	text/css	etag:%22d17-58805b1fe4b80%22	http://hienle.demo.123corp.vn/steeldoor/css/owl.carousel.min.css	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/css/owl.carousel.min.css	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:00	1013/1013	---M--	200	added ('OK')	text/css	etag:%223f5-58805b23b5480%22	http://hienle.demo.123corp.vn/steeldoor/css/owl.theme.default.min.css	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/css/owl.theme.default.min.css	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:00	25953/25953	---M--	200	added ('OK')	text/css	etag:%226561-58d4b98d96180%22	http://hienle.demo.123corp.vn/steeldoor/css/style.css	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/css/style.css	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:01	19371/19371	---M-Z	200	added ('OK')	text/html	etag:%224bab-58d4b55606e80-gzip%22	http://hienle.demo.123corp.vn/steeldoor/gio-hang.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/gio-hang.html	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:01	34726/34726	---M-Z	200	added ('OK')	text/html	etag:%2287a6-58d3bfbc2fc80-gzip%22	http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/gioi-thieu.html	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:02	30427/30427	---M-Z	200	added ('OK')	text/html	etag:%2276db-58d3cf0058100-gzip%22	http://hienle.demo.123corp.vn/steeldoor/san-pham.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/san-pham.html	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:02	16947/16947	---M-Z	200	added ('OK')	text/html	etag:%224233-58d3ba4fa3080-gzip%22	http://hienle.demo.123corp.vn/steeldoor/blog.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/blog.html	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:02	20948/20948	---M-Z	200	added ('OK')	text/html	etag:%2251d4-58d499fe0eb80-gzip%22	http://hienle.demo.123corp.vn/steeldoor/tin-tuc.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/tin-tuc.html	(from http://hienle.demo.123corp.vn/steeldoor/)
